# symbol=衛芦繁伏USDT,side=LONG,entry_price=0.05511,exit_price=0.05471,exit_reason=dynamic_vol_stop,sl_price=0.05444868,tp_price=0.05593664999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775198270.322,0.0,0.05511,0.0
1775198271.73,1.4,0.05506,-0.9073
1775198273.176,2.9,0.055,-1.996
1775198274.194,3.9,0.05501,-1.8146
1775198275.201,4.9,0.05495,-2.9033
1775198276.201,5.9,0.05497,-2.5404
1775198277.28,7.0,0.05491,-3.6291
1775198278.359,8.0,0.05496,-2.7218
1775198279.684,9.4,0.05499,-2.1775
1775198280.969,10.6,0.05493,-3.2662
1775198283.098,12.8,0.05486,-4.5364
1775198284.401,14.1,0.05485,-4.7178
1775198285.427,15.1,0.05486,-4.5364
1775198286.593,16.3,0.05481,-5.4437
1775198287.661,17.3,0.05484,-4.8993
1775198288.712,18.4,0.05495,-2.9033
1775198289.716,19.4,0.05498,-2.3589
1775198290.823,20.5,0.05497,-2.5404
1775198291.978,21.7,0.05497,-2.5404
1775198292.985,22.7,0.05489,-3.992
1775198294.496,24.2,0.0549,-3.8106
1775198295.753,25.4,0.05495,-2.9033
1775198296.851,26.5,0.05494,-3.0847
1775198298.139,27.8,0.05497,-2.5404
1775198299.254,28.9,0.05494,-3.0847
1775198301.024,30.7,0.05494,-3.0847
1775198303.772,33.5,0.05497,-2.5404
1775198305.373,35.1,0.05493,-3.2662
1775198306.612,36.3,0.05486,-4.5364
1775198308.187,37.9,0.05488,-4.1735
1775198309.772,39.5,0.05496,-2.7218
1775198311.718,41.4,0.05491,-3.6291
1775198313.255,42.9,0.05486,-4.5364
1775198314.257,43.9,0.05484,-4.8993
1775198317.154,46.8,0.05484,-4.8993
1775198318.724,48.4,0.05486,-4.5364
1775198319.945,49.6,0.05485,-4.7178
1775198321.824,51.5,0.05486,-4.5364
1775198322.852,52.5,0.05481,-5.4437
1775198324.139,53.8,0.05485,-4.7178
1775198326.119,55.8,0.05485,-4.7178
1775198327.257,56.9,0.05476,-6.3509
1775198328.37,58.0,0.05476,-6.3509
1775198330.044,59.7,0.05474,-6.7138
1775198330.944,60.6,0.05471,-7.2582
